Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue
1,Peoria,Arizona,Region 2,Old,"$2,601","$48,610"
2,Midland,Texas,Region 2,Old,"$2,727","$45,689"
3,Spokane,Washington,Region 2,Old,"$2,768","$49,554"
4,Denton,Texas,Region 2,Old,"$2,759","$38,284"
5,Overland Park,Kansas,Region 2,Old,"$2,869","$59,887"
6,Yonkers,New York,Region 1,Old,"$3,080","$53,827"
7,Birmingham,Alabama,Region 1,Old,"$3,110","$60,338"
8,Antioch,California,Region 2,Old,"$2,593","$19,569"
9,Worcester,Massachusetts,Region 1,Old,"$2,675","$59,840"
10,Rochester,New York,Region 1,Old,"$2,984","$64,906"
11,Rialto,California,Region 2,Old,"$2,541","$16,860"
12,Santa Maria,California,Region 2,Old,"$2,651","$21,988"
13,Las Cruces,New Mexico,Region 2,Old,"$2,895","$19,888"
14,Jackson,Mississippi,Region 1,Old,"$3,466","$54,701"
15,Hillsboro,Oregon,Region 2,Old,"$2,686","$18,471"
16,Temecula,California,Region 2,Old,"$2,795","$16,690"
17,Tallahassee,Florida,Region 1,Old,"$2,737","$47,729"
18,Fontana,California,Region 2,Old,"$3,085","$63,027"
19,Kent,Washington,Region 2,Old,"$2,894","$43,183"
20,Broken Arrow,Oklahoma,Region 2,Old,"$2,765","$19,120"
21,Concord,California,Region 2,Old,"$2,521","$38,178"
22,Modesto,California,Region 2,Old,"$3,077","$56,836"
23,Montgomery,Alabama,Region 1,Old,"$3,287","$52,114"
24,Burbank,California,Region 2,Old,"$3,679","$20,123"
25,Elk Grove,California,Region 2,Old,"$2,918","$49,856"
26,Port St. Lucie,Florida,Region 1,Old,"$2,420","$55,790"
27,Elizabeth,New Jersey,Region 1,Old,"$2,557","$45,017"
28,Salt Lake City,Utah,Region 2,Old,"$3,620","$56,921"
29,Waco,Texas,Region 2,Old,"$2,483","$39,744"
30,Edison,New Jersey,Region 1,Old,"$3,131","$22,972"
31,Boulder,Colorado,Region 2,Old,"$3,083","$22,680"
32,Grand Rapids,Michigan,Region 1,Old,"$2,808","$65,475"
33,Tyler,Texas,Region 2,Old,"$2,984","$21,718"
34,Charleston,South Carolina,Region 1,Old,"$2,484","$34,829"
35,Huntsville,Alabama,Region 1,Old,"$3,335","$59,283"
36,Pearland,Texas,Region 2,Old,"$3,127","$20,057"
37,Inglewood,California,Region 2,Old,"$2,904","$20,455"
38,Oxnard,California,Region 2,Old,"$2,318","$64,302"
39,Miramar,Florida,Region 1,Old,"$3,488","$49,506"
40,Cape Coral,Florida,Region 1,Old,"$2,886","$52,250"
41,Syracuse,New York,Region 1,Old,"$2,373","$41,313"
42,Newport News,Virginia,Region 1,Old,"$2,758","$57,625"
43,Lewisville,Texas,Region 2,Old,"$2,607","$16,029"
44,Carrollton,Texas,Region 2,Old,"$3,146","$49,191"
45,San Bernardino,California,Region 2,Old,"$3,399","$59,870"
46,Pasadena,California,Region 2,Old,"$2,790","$48,254"
47,Roseville,California,Region 2,Old,"$3,220","$43,397"
48,Murrieta,California,Region 2,Old,"$2,344","$16,372"
49,San Angelo,Texas,Region 2,Old,"$2,939","$50,233"
50,Olathe,Kansas,Region 2,Old,"$3,082","$41,460"
51,Akron,Ohio,Region 1,Old,"$2,338","$50,364"
52,Fullerton,California,Region 2,Old,"$3,246","$44,223"
53,Manchester,New Hampshire,Region 1,Old,"$2,374","$17,006"
54,Everett,Washington,Region 2,Old,"$3,129","$15,562"
55,West Covina,California,Region 2,Old,"$2,939","$21,824"
56,Thornton,Colorado,Region 2,Old,"$2,642","$46,490"
57,Hampton,Virginia,Region 1,Old,"$2,871","$38,782"
58,Waterbury,Connecticut,Region 1,Old,"$3,392","$19,350"
59,Ventura,California,Region 2,Old,"$3,228","$16,652"
60,Davenport,Iowa,Region 1,Old,"$3,175","$23,764"
61,Columbia,South Carolina,Region 1,Old,"$2,874","$42,803"
62,Simi Valley,California,Region 2,Old,"$2,792","$41,110"
63,Richmond,California,Region 2,Old,"$3,924","$19,448"
64,Little Rock,Arkansas,Region 2,Old,"$2,440","$68,828"
65,El Cajon,California,Region 2,Old,"$2,950","$19,529"
66,Santa Clara,California,Region 2,Old,"$2,462","$29,008"
67,Oceanside,California,Region 2,Old,"$3,084","$55,684"
68,Davie,Florida,Region 1,Old,"$3,177","$45,418"
69,Lakeland,Florida,Region 1,Old,"$3,003","$18,297"
70,Centennial,Colorado,Region 2,Old,"$3,697","$18,966"
71,Lowell,Massachusetts,Region 1,Old,"$2,857","$18,838"
72,Ontario,California,Region 2,Old,"$3,168","$52,078"
73,Palm Bay,Florida,Region 1,Old,"$2,943","$25,321"
74,Murfreesboro,Tennessee,Region 2,Old,"$2,777","$40,545"
75,Vancouver,Washington,Region 2,Old,"$3,329","$58,951"
76,Topeka,Kansas,Region 2,Old,"$2,854","$40,921"
77,West Valley City,Utah,Region 2,Old,"$2,555","$49,609"
78,New Haven,Connecticut,Region 1,Old,"$3,162","$45,550"
79,Pueblo,Colorado,Region 2,Old,"$2,928","$19,563"
80,Costa Mesa,California,Region 2,Old,"$2,275","$41,361"
81,Garden Grove,California,Region 2,Old,"$3,285","$57,530"
82,Fort Lauderdale,Florida,Region 1,Old,"$3,217","$54,768"
83,North Charleston,South Carolina,Region 1,Old,"$3,115","$18,754"
84,Cambridge,Massachusetts,Region 1,Old,"$2,779","$21,286"
85,Greeley,Colorado,Region 2,Old,"$3,277","$48,796"
86,Gresham,Oregon,Region 2,Old,"$2,745","$19,708"
87,Amarillo,Texas,Region 2,Old,"$3,984","$56,089"
88,High Point,North Carolina,Region 1,Old,"$3,262","$19,752"
89,Vista,California,Region 2,Old,"$2,718","$20,949"
90,Tacoma,Washington,Region 2,Old,"$2,552","$45,666"
91,Mesquite,Texas,Region 2,Old,"$3,072","$40,779"
92,Augusta,Georgia,Region 1,Old,"$2,676","$47,482"
93,Elgin,Illinois,Region 1,Old,"$2,553","$18,215"
94,Aurora,Illinois,Region 1,Old,"$2,685","$50,650"
95,Gainesville,Florida,Region 1,Old,"$2,990","$48,933"
96,Dayton,Ohio,Region 1,Old,"$2,805","$42,026"
97,Wichita Falls,Texas,Region 2,Old,"$2,846","$15,735"
98,Naperville,Illinois,Region 1,Old,"$2,699","$39,856"
99,Clovis,California,Region 2,Old,"$2,901","$20,669"
100,Billings,Montana,Region 1,Old,"$3,015","$20,541"
101,Surprise,Arizona,Region 2,Old,"$2,160","$33,647"
102,Coral Springs,Florida,Region 1,Old,"$3,079","$41,319"
103,Visalia,California,Region 2,Old,"$2,104","$45,632"
104,Killeen,Texas,Region 2,Old,"$2,962","$43,773"
105,Orange,California,Region 2,Old,"$2,830","$36,821"
106,Richardson,Texas,Region 2,Old,"$3,228","$22,824"
107,South Bend,Indiana,Region 1,Old,"$3,005","$21,953"
108,Fayetteville,North Carolina,Region 1,Old,"$3,020","$51,229"
109,Sioux Falls,South Dakota,Region 1,Old,"$2,947","$50,583"
110,Grand Prairie,Texas,Region 2,Old,"$3,131","$50,895"
111,Stamford,Connecticut,Region 1,Old,"$2,901","$46,503"
112,West Palm Beach,Florida,Region 1,Old,"$2,926","$18,089"
113,Knoxville,Tennessee,Region 2,Old,"$3,086","$56,504"
114,Renton,Washington,Region 2,Old,"$2,754","$44,635"
115,McAllen,Texas,Region 2,Old,"$2,282","$43,924"
116,Woodbridge,New Jersey,Region 1,Old,"$3,319","$19,811"
117,Shreveport,Louisiana,Region 1,Old,"$3,081","$56,140"
118,Bellevue,Washington,Region 2,Old,"$2,542","$40,462"
119,Huntington Beach,California,Region 2,Old,"$2,527","$54,145"
120,Santa Clarita,California,Region 2,Old,"$2,967","$51,882"
121,Sterling Heights,Michigan,Region 1,Old,"$2,357","$35,022"
122,Mobile,Alabama,Region 1,Old,"$2,838","$49,290"
123,Bridgeport,Connecticut,Region 1,Old,"$2,914","$47,108"
124,Daly City,California,Region 2,Old,"$2,658","$20,703"
125,Rochester,Minnesota,Region 1,Old,"$2,854","$18,099"
126,Sandy Springs,Georgia,Region 1,Old,"$2,759","$18,942"
127,Cedar Rapids,Iowa,Region 1,Old,"$2,553","$52,072"
128,Columbus,Georgia,Region 1,Old,"$2,877","$55,203"
129,Moreno Valley,California,Region 2,Old,"$3,507","$59,254"
130,Pompano Beach,Florida,Region 1,Old,"$2,608","$21,603"
131,Savannah,Georgia,Region 1,Old,"$2,028","$36,029"
132,West Jordan,Utah,Region 2,Old,"$2,773","$21,056"
133,Des Moines,Iowa,Region 1,Old,"$2,995","$57,432"
134,Green Bay,Wisconsin,Region 1,Old,"$3,586","$18,454"
135,Santa Rosa,California,Region 2,Old,"$3,067","$59,060"
136,San Mateo,California,Region 2,Old,"$1,811","$19,426"
137,Warren,Michigan,Region 1,Old,"$2,736","$47,262"
138,Norwalk,California,Region 2,Old,"$3,112","$19,703"
139,Lafayette,Louisiana,Region 1,Old,"$2,603","$40,255"
140,Providence,Rhode Island,Region 1,Old,"$3,191","$62,337"
141,Chattanooga,Tennessee,Region 2,New,"$3,587","$55,357"
142,Tempe,Arizona,Region 2,New,"$2,911","$48,954"
143,Joliet,Illinois,Region 1,New,"$3,279","$48,315"
144,Rancho Cucamonga,California,Region 2,New,"$2,945","$52,366"
145,Glendale,California,Region 2,New,"$2,363","$49,376"
146,Paterson,New Jersey,Region 1,New,"$2,251","$34,603"
147,Brownsville,Texas,Region 2,New,"$3,675","$63,148"
148,Rockford,Illinois,Region 1,New,"$2,648","$43,377"
149,College Station,Texas,Region 2,New,"$2,994","$22,457"
150,Thousand Oaks,California,Region 2,New,"$2,431","$40,141"
