,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROI,Profit,ROM
0,1,Peoria,Arizona,Region 2,Old,2601,48610,1868.9,46009,1768.9
1,2,Midland,Texas,Region 2,Old,2727,45689,1675.43,42962,1575.43
2,3,Spokane,Washington,Region 2,Old,2768,49554,1790.25,46786,1690.25
3,4,Denton,Texas,Region 2,Old,2759,38284,1387.6,35525,1287.6
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,2087.38,57018,1987.38
5,6,Yonkers,New York,Region 1,Old,3080,53827,1747.63,50747,1647.63
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,1940.13,57228,1840.13
7,8,Antioch,California,Region 2,Old,2593,19569,754.69,16976,654.69
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,2237.01,57165,2137.01
9,10,Rochester,New York,Region 1,Old,2984,64906,2175.13,61922,2075.13
10,11,Rialto,California,Region 2,Old,2541,16860,663.52,14319,563.52
11,12,Santa Maria,California,Region 2,Old,2651,21988,829.42,19337,729.42
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,686.98,16993,586.98
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,1578.22,51235,1478.22
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,687.68,15785,587.68
15,16,Temecula,California,Region 2,Old,2795,16690,597.14,13895,497.14
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,1743.84,44992,1643.84
17,18,Fontana,California,Region 2,Old,3085,63027,2043.01,59942,1943.01
18,19,Kent,Washington,Region 2,Old,2894,43183,1492.16,40289,1392.16
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,691.5,16355,591.5
20,21,Concord,California,Region 2,Old,2521,38178,1514.4,35657,1414.4
21,22,Modesto,California,Region 2,Old,3077,56836,1847.12,53759,1747.12
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,1585.46,48827,1485.46
23,24,Burbank,California,Region 2,Old,3679,20123,546.97,16444,446.97
24,25,Elk Grove,California,Region 2,Old,2918,49856,1708.57,46938,1608.57
